Month,(All),,,,,,,,,,,,,,,,,,,
expense_type,0,,,,,,,,expense_type,1,,,expense_type,0,,,,,,
,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of expense_price,,,,,,,,Row Labels,Sum of expense_price,,,Row Labels,Sum of expense_price,,Month,Total EX,Target EX,Target,Target%
Selfcare,"$10,016.00 ",,,,,,,,Apr,23856,,,Apr,10819,,Apr,"$10,819.00 ","$6,600.00 ","($4,219.00)",-64%
Hangout,"$5,043.00 ",,,,,,,,May,28017,,,May,7457,,May,"$7,457.00 ","$6,600.00 ",($857.00),-13%
Food,"$4,535.00 ",,,,,,,,Jun,30226,,,Jun,13192,,Jun,"$13,192.00 ","$6,600.00 ","($6,592.00)",-100%
Installments,"$4,529.88 ",,,,,,,,Jul,22000,,,Jul,9426.88,,Jul,"$9,426.88 ","$6,600.00 ","($2,826.88)",-43%
Cloth,"$3,732.00 ",,,,,,,,Grand Total,104099,,,Grand Total,40894.88,,Total,"$40,894.88 ","$26,400.00 ","($14,494.88)",-55%
Not logged,"$3,183.00 ",,,,,,,,,,,,,,,,,,,
Drinks,"$2,910.00 ",,,,,,`,,,,,,,,,,,,,
Internet,"$2,584.00 ",,,,,,,,,,,,,,,,,,,
Gifts,"$1,334.00 ",,,,,,,,,,,,,,,,,,,
Transportation,"$1,195.00 ",,,,,,,,,,,,,,,,,,,
Raw Food,$910.00 ,,,,,,,,,,,,,,,,,,,
Snacks,$487.00 ,,,,,,,,,0.392846041,,,,,,,,,,
General,$335.00 ,,,,,,,,,,,,,,,,,,,
leisure,$130.00 ,,,,,,,,,,,,,,,,,,,
Bills,64,,,,,,,,,,,,,,,,,,,
Medical,$31.00 ,,,,,,,,,,,,,,,,,,,
Mobile internet,$10.00 ,,,,,,,,,,,,,,,,,,,
Grand Total,41028.88,,,,,,,,,,,,,,,,,,,
